word,accent,infltype1,subtype
спастись,6,7,с
стрясти,7,7,с
стрястись,7,7,с
трясти,6,7,с
трястись,6,7,с
унести,6,7,с
унестись,6,7,с
упасти,6,7,с
упастись,6,7,с
утрясти,7,7,с
утрястись,7,7,с
взрасти,7,7,ст
возрасти,8,7,ст
врасти,6,7,ст
вырасти,2,7,ст
дорасти,7,7,ст
зарасти,7,7,ст
нарасти,7,7,ст
обрасти,7,7,ст
отрасти,7,7,ст
перерасти,9,7,ст
подрасти,8,7,ст
порасти,7,7,ст
прирасти,8,7,ст
произрасти,10,7,ст
прорасти,8,7,ст
разрастись,8,7,ст
расти,5,7,ст
срастись,6,7,ст
взмести,7,7,т
вмести,6,7,т
вплести,7,7,т
вплестись,7,7,т
вымести,2,7,т
выместись,2,7,т
выплести,2,7,т
выплестись,2,7,т
выцвести,2,7,т
вычесть,2,7,т
гнести,6,7,т
домести,7,7,т
доплести,8,7,т
доплестись,8,7,т
доцвести,8,7,т
дочесть,4,7,т
замести,7,7,т
заплести,8,7,т
заплестись,8,7,т
зацвести,8,7,т
зачесть,4,7,т
зачесться,4,7,т
изобрести,9,7,т
мести,5,7,т
мястись,5,7,т
нагнести,8,7,т
намести,7,7,т
наплести,8,7,т
начесть,4,7,т
недоучесть,7,7,т
обмести,7,7,т
обрести,7,7,т
обрестись,7,7,т
обчесть,4,7,т
обчесться,4,7,т
оплести,7,7,т
отмести,7,7,т
отплести,8,7,т
отплестись,8,7,т
отцвести,8,7,т
перемести,9,7,т
переплести,10,7,т
переплестись,10,7,т
переучесть,7,7,т
перечесть,6,7,т
перечесть,6,7,т
плести,6,7,т
плестись,6,7,т
повыцвести,4,7,т
подмести,8,7,т
подплести,9,7,т
помести,7,7,т
поплести,8,7,т
поплестись,8,7,т
почесть,4,7,т
предпочесть,8,7,т
пригнести,9,7,т
примести,8,7,т
приобрести,10,7,т
приплести,9,7,т
приплестись,9,7,т
причесть,5,7,т
причесть,5,7,т
промести,8,7,т
проплести,9,7,т
проплестись,9,7,т
процвести,9,7,т
прочесть,5,7,т
размести,8,7,т
расплести,9,7,т
расплестись,9,7,т
рассвести,9,7,т
расцвести,9,7,т
расчесть,5,7,т
расчесться,5,7,т
сгнести,7,7,т
смести,6,7,т
сопричесть,7,7,т
сплести,7,7,т
сплестись,7,7,т
счесть,3,7,т
счесть,3,7,т
счесться,3,7,т
угнести,7,7,т
умести,6,7,т
уплести,7,7,т
уплестись,7,7,т
учесть,3,7,т
цвести,6,7,т
честь,2,7,т
вдуть,3,12,у
вздуть,4,12,у
вздуть,4,12,у
вздуться,4,12,у
выдуть,2,12,у
дуть,2,12,у
дуться,2,12,у
задуть,4,12,у
надуть,4,12,у
надуться,4,12,у
обдуть,4,12,у
обдуться,4,12,у
обуть,3,12,у
обуться,3,12,у
отдуть,4,12,у
передуть,6,12,у
переобуть,7,12,у
переобуться,7,12,у
поддуть,5,12,у
поднадуть,7,12,у
подуть,4,12,у
продуть,5,12,у
продуться,5,12,у
раздуть,5,12,у
раздуться,5,12,у
разуть,4,12,у
разуться,4,12,у
сдуть,3,12,у
возвратить,8,4,щ
возвратиться,8,4,щ
возмутить,7,4,щ
возмутиться,7,4,щ
возроптать,8,6,щ
воплотить,7,4,щ
воплотиться,7,4,щ
воспретить,8,4,щ
вострепетать,10,6,щ
вострепетаться,10,6,щ
восхитить,5,4,щ
восхитить,7,4,щ
восхититься,7,4,щ
запретить,7,4,щ
зароптать,7,6,щ
заскрежетать,10,6,щ
затрепетать,9,6,щ
затрепетаться,9,6,щ
защитить,6,4,щ
защититься,6,4,щ
извратить,7,4,щ
извратиться,7,4,щ
клеветать,7,6,щ
наклеветать,9,6,щ
насытить,4,4,щ
насытиться,4,4,щ
обогатить,7,4,щ
обогатиться,7,4,щ
обратить,6,4,щ
обратиться,6,4,щ
оклеветать,8,6,щ
осветить,6,4,щ
осветиться,6,4,щ
освятить,6,4,щ
отвратить,7,4,щ
отяготить,7,4,щ
отяготиться,7,4,щ
ощутить,5,4,щ
перевоплотить,11,4,щ
перевоплотиться,11,4,щ
перенасытить,8,4,щ
перенасытиться,8,4,щ
пересытить,6,4,щ
пересытиться,6,4,щ
поглотить,7,4,щ
поглотить,7,4,щ
поглотиться,7,4,щ
поглотиться,7,4,щ
подсократить,10,4,щ
позлатить,7,4,щ
поклеветать,9,6,щ
поработить,8,4,щ
поработиться,8,4,щ
пороптать,7,6,щ
посвятить,7,4,щ
посвятиться,7,4,щ
посетить,6,4,щ
поскрежетать,10,6,щ
похитить,4,4,щ
превратить,8,4,щ
превратиться,8,4,щ
предвосхитить,9,4,щ
предотвратить,11,4,щ
предощутить,9,4,щ
прекратить,8,4,щ
прекратиться,8,4,щ
пресытить,5,4,щ
пресытиться,5,4,щ
просветить,8,4,щ
просветиться,8,4,щ
проскрежетать,11,6,щ
развратить,8,4,щ
развратиться,8,4,щ
расхитить,5,4,щ
роптать,5,6,щ
скрежетать,8,6,щ
смутить,5,4,щ
смутиться,5,4,щ
совратить,7,4,щ
совратиться,7,4,щ
сократить,7,4,щ
сократиться,7,4,щ
трепетать,7,6,щ
трепетаться,7,6,щ
тяготить,6,4,щ
тяготиться,6,4,щ
укротить,6,4,щ
укротиться,6,4,щ
докрыть,5,12,ы
