word,accent,gram,infltype,label,forms
наподдать,7,"св@в/с:_буд._наподдАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._наподдАнный(_кф_наподдан,-а//-а,-о,-ы)$III",,,
недодать,6,"св@в/с[""1""]:_буд._недодАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//недодал,-а,-о,-и],недодАвший;_прич.страд._недодАнный(_кф_недодан,-а//-а,-о,-ы)$III",,,
обдать,4,"св@в/с[""1""]:_буд._обдАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//обдал,-а,-о,-и],обдАвший;_прич.страд._обдАнный(_кф_обдан,-а//-а,-о,-ы)$III",,,
отдать,4,"св@в/с[""1""]:_буд._отдАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//отдал,-а,-о,-и],отдАвший;_прич.страд._Отданный(_кф_отдан,-а//-а,-о,-ы)$III",,,
передать,6,"св@в/с[""1""]:_буд._передАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//передал,-а,-о,-и],передАвший;_прич.страд._пЕреданный(_кф_передан,-а//-а,-о,-ы)$III",,,
переиздать,8,"св@в/с:_буд._переиздАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._переИзданный(_кф_переиздан,-а//-а,-о,-ы)$III",,,
перепродать,9,"св@в/с[""1""]:_буд._перепродАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//перепродал,-а,-о,-и],перепродАвший;_прич.страд._перепрОданный(_кф_перепродан,-а//-а,-о,-ы)$III",,,
пересдать,7,"св@в/с:_буд._пересдАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._пересдАнный(_кф_пересдан,-а,-о,-ы)$III",,,
пересоздать,9,"св@в/с:_буд._пересоздАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._пересОзданный(_кф_пересоздан,-а//-а,-о,-ы)$III",,,
подать,4,"св@в/с[""1""]:_буд._подАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//подал,-а,-о,-и],подАвший;_прич.страд._пОданный(_кф_подан,-а//-а,-о,-ы)$III",,,
поддать,5,"св@в/с[""1""]:_буд._поддАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//поддал,-а,-о,-и],поддАвший;_прич.страд._пОдданный(_кф_поддан,-а//-а,-о,-ы)$III",,,
пораспродать,10,"св@в/с[""1""]:_буд._пораспродАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-ла;",,,
предать,5,"св@в/с[""1""]:_буд._предАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//предал,-а,-о,-и],предАвший;_прич.страд._прЕданный(_кф_предан,-а//-а,-о,-ы)$III",,,
преподать,7,"св@в/с[""1""]:_буд._преподАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//преподал,-а,-о,-и],преподАвший;_прич.страд._преподАнный(_кф_преподан,-а//-а,-о,-ы)$III",,,
придать,5,"св@в/с[""1""]:_буд._придАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//придал,-а,-о,-и],придАвший;_прич.страд._придАнный(_кф_придан,-а//-а,-о,-ы)$III",,,
продать,5,"св@в/с[""1""]:_буд._продАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//продал,-а,-о,-и],продАвший;_прич.страд._прОданный(_кф_продан,-а//-а,-о,-ы)$III",,,
